Ranking;Razão Social;Faturamento (R$);% Participação;% Acumulado;Classe;Cidade;UF;CNPJ;Telefone;E-mail;Vendedor
25;DIGIMEC CONTROLES E SISTEMAS LTDA;120253,4453;0,005284478;0,737487553;A;São Paulo;SP;14447680000109;1126691600;"comprasxml@digimec.com.br;thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
26;MONPAINEIS AUTOMACAO INDUSTRIAL LTDA EPP;111204,8864;0,004886844;0,752244376;A;SAO PAULO;SP;58279522000154;29167477;"monpaineis@monpaineis.com.br;nivaldo@monpaineis.com.br; robson@agtdisplays.com.br; thiago@monpaineis.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
27;TECNOHOLD DEVELOPMENT TECHNOLOGY INDUSTRIA E COMERCIO LTDA -;104756,0604;0,004603453;0,761559066;A;São Paulo;SP;57978850000186;1129819066;"eduardo.sidnei@tecnohold.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
28;RENTBRELLA BRASIL LTDA;100911,4485;0,004434504;0,770441385;A;São Carlos;SP;25020976000238;1621210261;"carolina.bolatto@rentbrella.com;robson@agtdisplays.com.br;sac@agtdisplays.com.br  ";ROBSON BARBIERI
29;CONTROL LIQ INDUSTRIA COMERCIO E REPRESENTACOES LTDA;92317,07629;0,004056828;0,774498213;A;São Paulo;SP;50707942000182;1121651221;"nfe@control-liq.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br;auxcompras1@control-liq.com.br ";ROBSON BARBIERI
30;INFOLEV ELEVADORES E INFORMATICA LTDA;88902,1208;0,00390676;0,782441892;A;São Paulo;SP;66956160000117;1133831957;"compras@infolev.com.br;financeiro@infolev.com.br;mara@infolev.com.br;SERGIO@agtdisplays.com.br;sac@agtdisplays.com.br";SERGIO PAULO RODRIGUES 13915244899
31;MENDES & BARBOSA PRODUTOS MEDICOS LTDA;78305,388;0,003441092;0,804119146;B;Piracicaba;SP;71769673000159;1921052800;"cezar.engenharia@querkmedical.com;sac@agtdisplays.com.br;robson@agtdisplays.com.br; emilia@agtdisplays.com.br";ROBSON BARBIERI
32;LOGIN EMPILHADEIRAS LTDA ME;76235,631;0,003350137;0,807469283;B;SAO PAULO;SP;09812917000165;22953561;"leandro@loginempilhadeiras.com.br; diogo@agte.com.br; sac@agte.com";DIOGO ADRIANO MARQUES
33;INCON AUTOMACAO ELETRONICA LTDA;71675,7674;0,003149756;0,813963616;B;São Carlos;SP;09109405000137;1633634100;compras@incon.com.br;ROBSON BARBIERI
34;ANALYSER COMERCIO E INDUSTRIA LTDA EPP;67830,4;0,002980774;0,81694439;B;São Paulo;SP;55482475000153;1126465666;"financeiro@analyser.com.br;compras@analyser.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
35;MARCIO LUIS GASPAROTTI - ME;59298,6762;0,002605851;0,830307035;B;SAO CARLOS;SP;27428122000130;1634195039;"marcio.gasparotti@gtronicbr.com;diogo@agtdisplays.com.br;sac@agtdisplays.com.br;thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
36;FUMACA INSTRUMENTOS DE PRECISAO LTDA;56341,7375;0,00247591;0,832782945;B;São Paulo;SP;52445343000163;1121743200;"compras@fip.com.br;thiago@agtdisplays.com.br;sac@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
37;TECSOMOBI FABRICA DE SOFTWARE E INTELIGENCIA DIGITAL LTDA;53095,68;0,002333264;0,839844355;B;São Paulo;SP;41216398000185;11950708774;"clelio.pereira@tecsomobi.com.br;nfe@tecsomobi.com.br;thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
38;LINK TECNOLOGIA EM ESTACIONAMENTOS;51367;0,002257298;0,846638518;B;Campinas;SP;05068435000191;1932122141;"compras@linkc.com.br;sac@agtdisplays.com.br;thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
39;GIMON IND. E COMERCIO DE EQUIPAMENTOS DE SEGURANCA LTDA;44574,325;0,001958797;0,850810055;B;SAO PAULO;SP;08855262000140;2967-6842;"compras@verin.com.br;mariana@verin.com.br;salvador@agtdisplays.com.br;sac@agtdisplays.com.br;joseane@agtdisplays.com.br;verin@nfe.omie.com.br";SALVADOR FORTE
40;KN WAAGEN BALANCAS10 LTDA;44007,1751;0,001933874;0,854689585;B;Cotia;SP;00432705000188;1146124090;"compras@knwaagen.com.br;thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
41;CEREBRA SISTEMAS DE CONTROLE LTDA;43273,05;0,001901613;0,858500704;B;São Carlos;SP;10367130000110;1633761224;"nfe@cerebrasc.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
42;DELFINI INDUSTRIA COMERCIO LTDA;43145,682;0,001896016;0,862295892;B;Araraquara;SP;01061762000160;1633227020;"compras1@dellab.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
43;ALTEM  ELETRONICA  EIRELI  -  EPP;42910,3066;0,001885672;0,864181564;B;SAO PAULO;SP;29173518000109;55100557;"ADM@ALTEMELETRONICA.COM.BR ; aturamento@altemeletronica.com.br; robson@agte.com.br";ROBSON BARBIERI
44;CRONOMAC APARELHOS DE MEDICACAO LTDA.;42157,93;0,001852609;0,866034174;B;Valinhos;SP;61231247000103;38812454;"robson@agtdisplays.com.br;sac@agtdisplays.com.b;compras1@cronomac.com.br;daniel@cronomac.com.br;thiago@infinitymontagem.com.br";THIAGO GALVÃO ALMEIDA
45;TERMIKAS TECNOLOGIA EM AVICULTURA LTDA;42135,5;0,001851624;0,867885797;B;Amparo;SP;35657937000119;1938085581;"compras@termikas.com.br;sac@displays.com.br;sergio@agtdisplays.com.br";SERGIO PAULO RODRIGUES 13915244899
46;LINKB COMERCIO E SERVICOS LTDA EPP;40494,6156;0,001779516;0,873265217;B;CAMPINAS;SP;14927676000130;32122141;"compras@linkc.com.br;joseane@agtdisplays.com.br;marcelo@agtdisplays.com.br;sac@agtdisplays.com.br";
47;TRANSFORM TECNOLOGIA DE PONTA  LTDA;38615,53154;0,001696941;0,878429957;B;São Paulo;SP;05495281000203;1138329998;"joliveira@transform.ind.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
48;CNZ ENGENHARIA ELETRONICA INDUSTRIA E COMERCIO LTDA  EPP;36793,87;0,001616888;0,883382933;B;São Paulo;SP;04801698000103;1137423464;"edmur@cnz.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
49;MASTER SYSTEM INDUSTRIA E COMERCIO LTDA;34714,7;0,00152552;0,884908454;B;Barueri;SP;00983057000158;1141984050;"compras@mastersystem.com.br ;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
50;FUNDACAO ADIB JATENE;34173,1275;0,001501721;0,886410175;B;São Paulo;SP;53725560000170;1150856101;financeiro@fajsaude.com.br;ROBSON BARBIERI
51;DAYLER SISTEMA E EQUIPAMENTOS DE INSTRUMENTACAO LTDA;33651,2056;0,001478786;0,889380389;B;SAO PAULO;SP;56053284000139;1126826633;"marcel@dayler.com; robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
52;CARSIF AUTOMACAO LTDA;32448,1479;0,001425918;0,890806307;B;OSASCO;SP;26748081000104;36811079;"carlos.abel@carsif.com.br;veralucia@carsif.com.br;comercial@carsif.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
53;VERIN COM. DE EQUIP. CONTRA INCENDIO LTDA;30276,20333;0,001330473;0,894864402;B;São Paulo;SP;05694291000189;1129676842;"verin@verin.com.br;compras@verin.com.br;thiago@agtdisplays.com.br;sac@agtdisplays.com.br;mariana@verin.com.br;verin@nfe.omie.com.br";THIAGO GALVÃO ALMEIDA
54;OHMIC RESISTORES E REOSTATOS LTDA;27270,476;0,001198388;0,902416298;B;INDAIATUBA;SP;01716725000143;1939350044;"compras@ohmic.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
55;MILENIUM ELETRONICA LTDA EPP;25649,4015;0,00112715;0,908228064;B;SANTO ANDRE;SP;02267082000160;42272655;"nfe@milenium.com.br; diogo@agte.com.br; talita@milenium.com.br;sac@agte.com.br";DIOGO ADRIANO MARQUES
56;WUTZL SISTEMAS DE IMPRESSAO LTDA;23080,77;0,001014273;0,914572129;B;Guarulhos;SP;49032279000184;1124754238;"compras@wutzl.com;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
57;PAULO DOMINGOS PEREIRA;22790,8128;0,001001531;0,916577863;B;BORDA DA MATA;MG;01558210000162;998287423;"RRINDUSTRIAECOMERCIO@OUTLOOK.COM ; EVANDRO.FARIA@CASAS.IND.BR";
58;REAG SPRAY MONTAGEM E COMERCIO LTDA;22118,88608;0,000972004;0,920509742;B;São Paulo;SP;58972175000140;1126327745;"suprimentos@reag-spray.com.br;thiago@agtdisplays.com.br;sac@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
59;TATO EQUIPAMENTOS ELETRONICOS LTDA EPP;21777;0,00095698;0,921466722;B;São Paulo;SP;59050302000117;1155065335;"robson@agtdisplays.com.br;nogueira@tato.ind.br;sac@agtdisplays.com.br;";ROBSON BARBIERI
60;NEXCODE ELETRONICA LTDA;21737,18244;0,00095523;0,922421952;B;Cachoeira de Minas;MG;09409887000140;3534712068;"adm@nexcode.com.br;diogo@infinitydobrasil.com.br;sac@agtdisplays.com.br                        ";SERGIO PAULO RODRIGUES 13915244899
61;CECCATO ITALIA IND. E COMERCIO DE SISTEMAS DE LAVAGEM LTDA;21632,01;0,000950608;0,92337256;B;Limeira;SP;19991217000139;1921134100;"compras@ceccato.com.br;sac@agtdisplays.com.br;robson@agtdisplays.com.br";ROBSON BARBIERI
62;G.A. TECNOLOGIA LTDA;21151,03466;0,000929472;0,925247843;B;São Paulo;SP;53606331000136;19996987099;"andre@geave.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
63;KITEST EQUIPAMENTOS AUTOMOTIVOS;19392,64;0,0008522;0,928829726;B;São Paulo;SP;07024562000114;1120938721;"sac@agtdisplays.com.br;robson@agtdisplays.com.br;compras@kitest.com.br                 ";ROBSON BARBIERI
64;ROGERIO VICCINO;19187,5764;0,000843189;0,931366821;B;São Paulo;SP;60428520000121;1137662787;gviccino@bol.com.br;THIAGO GALVÃO ALMEIDA
65;CTC SISTEMAS DE PESAGEM, INDUSTRIA E COMERCIO LTDA - EPP;18209,02525;0,000800187;0,932167008;B;SAO PAULO;SP;12446262000163;29543740;"balmarc@terra.com.br; robson@agtdisplays.com.br; sac@agtdisplays.com.br";ROBSON BARBIERI
66;EDVALDO ROCHA DOS SANTOS;17817,0184;0,00078296;0,93452548;B;Jundiaí;SP;22118401000183;11957490408;"edvaldo.injecaodiesel@gmail.com; sac@agtdisplays.com.br; thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
67;WSMED - TECNOLOGIAS MEDICAS - LTDA;17600,54875;0,000773447;0,936074153;B;SANTA BARBARA D'OESTE;SP;30767266000125;34551947;"milena.mendes@writesys.com.br;joseane@agte.com.br;adm@mastermedikal.com.br";Mario Bedani Gomes
68;BICE EQUIPAMENTOS E INJECAO PLASTICA LTDA.;16682,8236;0,000733118;0,939831249;B;INDAIATUBA;SP;05998623000119;39352128;"compras@ntiequipamentos.com.br; adm2@ntiequipamentos.com.br; sac@agtdisplays.com.br; robson@agtdisplays.com.br";ROBSON BARBIERI
69;SONIX EQUIPAMENTOS LTDA;16278,39;0,000715346;0,940546595;B;SAO CARLOS;SP;16846272000147;9166-9804;"vetsonix@gmail.com; robson@agtdisplays.com.br; sac@agtdisplays.com.br;";ROBSON BARBIERI
70;TECNAL IND. COM. IMP. E EXP. DE EQUIP. PARA LAB. LTDA;16190,698;0,000711492;0,941258087;B;Piracicaba;SP;47010566000168;1921056161;"nfe@tecnal.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
71;FRESENIUS MEDICAL CARE LTDA;15606,23;0,000685808;0,94263824;B;Jaguariúna;SP;01440590000136;1138741046;"marcio.carandina@freseniusmedicalcare.com;angelica.silva@freseniusmedicalcare.com;nfe.fme@fmcbr.com.br;nfe.fme@freseniusmedicalcare.com;thiago@agtdisplays.com.br;sac@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
72;ALEXANDRE FERNANDES DOS ANJOS;15529,97;0,000682457;0,944686354;B;CAMPINAS;SP;00000000000000;;;
73;SKINER INDUSTRIA E COMERCIO LTDA EPP;15127,76454;0,000664782;0,946015928;B;SAO PAULO;SP;43406636000140;2114-4120;"drjcarlos@skiner.com.br; ivalcy@skiner.com.br; sac@agtdisplays.com.br; marcelo@agtdisplays.com.br; compras@skiner.com.br; amandagomes@skiner.com.br";
74;DAYLER INDUSTRIA, COMERCIO E SERVICO DE INSTRUMENTACAO INDUS;14557,908;0,00063974;0,948608593;B;SAO PAULO;SP;10886631000103;26826633;"robson@agtdisplays.com.br;marcel@dayler.com;sac@agtdisplays.com.br";ROBSON BARBIERI
75;GUMP BRASIL AUTOMOCAO INDUSTRIAL LTDA-EPP;14323,88688;0,000629456;0,950509863;C;ITAJUBA;MG;26232535000181;36298750;"contato@gumpbrasil.com.br; marcelo@agtdisplays.com.br,wendel.andrade@gumpbrasil.com.br";
76;STARTECK SEMICONDUTORES LTDA;12233,4;0,000537591;0,954507154;C;Guarulhos;SP;07739240000151;1120872100;"sac@agtdisplays.com.br;robson@agtdisplays.com.br;thiago@starteck.com.br                ";ROBSON BARBIERI
77;CRONOTEC ELETRONICA LTDA;11952,5;0,000525247;0,955566219;C;DIADEMA;SP;50152859000194;995201173;"cronotec.br@gmail.com;robson@agtdisplays.com.br;sac@agtdisplays;com.br";ROBSON BARBIERI
78;NETVMI TECNOLOGIA DA INFORMACAO DO BRASIL LTDA;11690;0,000513711;0,95607993;C;INDAIATUBA;SP;05111589000119;2626-9116;"joao@netvmi.com; robson@agte.com.br; joseane@agte.com.br";ROBSON BARBIERI
79;TECNO DESIGN INDUSTRIA E COMERCIO LTDA;11390,58;0,000500553;0,957089221;C;Salto;SP;74451378000148;55128206;"compras@tecnodesign.ind.br;robson@agtdisplays.com.br;nfe@creare.ind.br;nfe@tecnodesign.ind.br;sac@agtdisplays.com.br";ROBSON BARBIERI
80;GRC IND. E COM. DE EQUIP. ELETRO ELETRONICOS LTDA;11239,886;0,000493931;0,958081483;C;Jundiaí;SP;00014425000150;1145840011;"aline@grcindustria.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
81;TECNORD SUL AMERICA SISTEMAS ELETROHIDRAULICOS LTDA;9487,92;0,000416942;0,961753559;C;Piracicaba;SP;08874490000167;1934121890;"gcunha@tecnord.com;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
82;SENSYMED EQUIPAMENTOS MEDICOS LTDA - ME;9259,91998;0,000406923;0,962160481;C;Itajubá;MG;09300725000170;3536216159;"debora@sensymed.com.br;compras@sensymed.com.br;robson@agte.com.br;sac@agte.com.br";ROBSON BARBIERI
83;CASTILHO MAQUINAS TEXTEIS LTDA;8642,56;0,000379793;0,964097804;C;SAO PAULO;SP;12554302000190;32320137;"compras@castilhobr.com;joseane@agtdisplays.com.br;marcelo@agtdisplays.com.br";
84;UNYLYNER SERVICE COMERCIO E SERVICOS LTDA;8490,0504;0,000373091;0,964470896;C;BARUERI;SP;22208468000109;1130191010;"felipe@unylyner.com.br;sac@agtdisplays.com.br;robson@agtdisplays.com.br";ROBSON BARBIERI
85;NACIONAL TECNOLOGIA INSTRUMENTOS EQUIP. DE DOSAGEM LTDA.;7949,4028;0,000349333;0,96624818;C;Indaiatuba;SP;03422404000161;1939356107;"robson@agtdisplays.com.br.com.br;sac@agtdisplays.com.br;compras@ntiequipamentos.com.br            ";ROBSON BARBIERI
86;CODATEC SISTEMAS LTDA - ME;7874,25;0,00034603;0,96694069;C;São Paulo;SP;05414616000122;1139318322;"compras@codatec.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
87;TS SHARA TECNOLOGIA DE SISTEMA LTDA.;7712,026;0,000338901;0,967279591;C;São Paulo;SP;64600422000180;1120186000;"compras1@tsshara.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
88;BOSSA 3 LTDA;7526;0,000330726;0,967610318;C;SAO PAULO;SP;43810639000145;22724238;"brunobossa3@gmail.com; joseane@agte.com.br; carlos@agtdisplays.com.br";
89;EMBTECH TECNOLOGIA EMBARCADA SA ME;7292,376;0,00032046;0,968902701;C;POCOS DE CALDAS;MG;00702752000102;37227950;"luana@embtech.com.br; nfe@embtech.com.br; compras@embtech.com.br, marcelo@agtdisplays.com.br; compras2@embtech.com.br; sac@agtdisplays.com.br";
90;STP INDUSTRIA DE CIRCUITOS ELETRONICOS LTDA ME;7046,376;0,00030965;0,969839715;C;SAO PAULO;SP;10638200000128;1142215118;"stp@stp.ind.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
91;ZILOCCHI ELETRONICA LTDA ME;7042,93;0,000309498;0,970149213;C;Itajubá;MG;05921509000190;3536234828;"zilocchi@zilocchi.com.br; robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
92;PREST-MAC  COMERCIAL E INDUSTRIAL LTDA;6916,5;0,000303942;0,97076102;C;SAO PAULO;SP;44893790000157;56601600;"pmcomprasmec@prestmac.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
93;SMT SISTEMAS MONTAGENS TECNOLOGICA ELET IND E COM LTDA EPP;6647,76;0,000292133;0,97134672;C;São Paulo;SP;04987232000136;1156694343;"robson@agtdisplays.com.br;adm.financeiro@smteletronica.com.br;sac@agtdisplays.com.br;compras@smteletronica.com.br";ROBSON BARBIERI
94;AROSSAT INDUSTRIA ELETRONICA LTDA EPP;6642,2397;0,00029189;0,97163861;C;São Paulo;SP;64932551000176;1156664858;"compras02@arossat.com.br;robson@agtdisplays.com.br;sac@agtdisplays.com.br";ROBSON BARBIERI
95;TRANSMAI EQUIPAMENTOS MEDICOS HOSPITALARES LTDA EPP;6564,8;0,000288487;0,971927097;C;SAO PAULO;SP;43179225000160;23351000;"compras@transmai.com.br; salvador@agte.com.br; compras3@transmai.com.br";SALVADOR FORTE
96;KS ELETRONICA INDUSTRIA E COMERCIO EIRELI -ME;6398,37333;0,000281173;0,97249436;C;SAO PAULO;SP;05099354000159;46140041;"rosa.ks@uol.com.br; sac@agtdisplays.com.br; @diogo@agtdisplays.com.br; joseane@agtdisplays.com.br";DIOGO ADRIANO MARQUES
97;TRANSDATA SOLUCOES EM MOBILIDADE LTDA;5847,9;0,000256983;0,974600624;C;CAMPINAS;SP;05246462000883;30151138;"compras@itstransdata.com; robson@agtdisplays.com.br; sac@agtdisplays.com.br";ROBSON BARBIERI
98;MARCIO LUIS GASPAROTTI LTDA;5795,73;0,00025469;0,97511195;C;São Carlos;SP;27428122000130;1634195039;"marcio.gasparotti@gtronicbr.com;diogo@agtdisplays.com.br;sac@agtdisplays.com.br;thiago@agtdisplays.com.br";THIAGO GALVÃO ALMEIDA
99;E DE OLIVEIRA BARBOSA ELETRONICA;5795,63;0,000254686;0,975366636;C;Jundiaí;SP;26110699000136;11964842186;"emerson@erty.com.br;sac@agtdisplays.com.br;robson@agtdisplays.com.br";ROBSON BARBIERI
100;BETTA SISTEMAS ELETRONICOS LTDA EPP;5624,1;0,000247148;0,975866861;C;São Paulo;SP;46995494000192;1150586066;"valmir@betta.com.br; nfe@betta.com.br; robson@agte.com.br; sac@agtdisplays.com.br";ROBSON BARBIERI
101;FANEM LTDA;5592,3215;0,000245752;0,976112613;C;SAO PAULO;SP;61100244000130;24652193;"recebimento3@fanem.com.br;fiscal@fanem.com.br;diogo@agtdisplays.com.br;sac@agtdisplays.com.br;helder.furlan@fanem.com.br;joseane@agtdisplays.com.br";DIOGO ADRIANO MARQUES
102;BOX UP PECAS E SERVICOS PARA EMPILHADEIRAS LTDA;5509,1965;0,000242099;0,976597554;C;São Paulo;SP;00749533000170;41281299;"box-upassistec@uol.com.br;sac@agtdisplays.com.br;robson@agtdisplays.com.br;assistec@box-up.com.br";ROBSON BARBIERI
103;GENIUS SISTEMAS DE CONTROLE E AUTOMACAO EM ESTACIONAMENTO E;5444,67;0,000239263;0,976836817;C;SAO PAULO;SP;30271182000104;5061-5131;"diogo@agtdisplays.com.br;sac@agtdisplays.com.br;compras@geniussistemas.com.br; joseane@agtdisplays.com.br";DIOGO ADRIANO MARQUES
104;HG CONTROL TECNOLOGIA LTDA - ME;5205,69;0,000228761;0,977303602;C;SANTO ANDRE;SP;59725937000177;42205449;"sergio.haga@hgcontrol.com.br;marcelo@agtdisplays.com.br;sac@agtdisplays.com.br;joseane@agtdisplays.com.br";Mario Bedani Gomes
105;A A NEVES MAQUINAS AUTOMATICAS;5199,2;0,000228476;0,977532078;C;Suzano;SP;17076448000191;1147423040;"alan@sdncafe.com.br;sac@agtdisplays.com.br;robson@agtdisplays.com.br";ROBSON BARBIERI
106;H I TECNOLOGIA INDUSTRIA E COMERCIO LTDA;5051,30695;0,000221977;0,977979926;C;Campinas;SP;60787124000190;1921391700;"vinicius.domingues@hitecnologia.com.br;nfe@hitecnologia.com.br;sac@agtdisplays.com.br;marcelo@agtdisplays.com.br;joseane@agtdisplays.com.br";ROBSON BARBIERI
